# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    158   1.092103e+01   7.678492e-02   2.072511e+00   0.000000e+00   0.000000e+00
    159   1.096791e+01   7.740724e-02   2.064155e+00   0.000000e+00   0.000000e+00
    160   1.101478e+01   7.803207e-02   2.055867e+00   0.000000e+00   0.000000e+00
    161   1.106166e+01   7.865941e-02   2.047646e+00   0.000000e+00   0.000000e+00
    162   1.110853e+01   7.928925e-02   2.039491e+00   0.000000e+00   0.000000e+00
    163   1.115541e+01   7.992161e-02   2.031402e+00   0.000000e+00   0.000000e+00
    164   1.120228e+01   8.055648e-02   2.023377e+00   0.000000e+00   0.000000e+00
    165   1.124916e+01   8.119386e-02   2.015417e+00   0.000000e+00   0.000000e+00
    166   1.129603e+01   8.183375e-02   2.007520e+00   0.000000e+00   0.000000e+00
    167   1.134291e+01   8.247615e-02   1.999685e+00   0.000000e+00   0.000000e+00
    168   1.138978e+01   8.312107e-02   1.991912e+00   0.000000e+00   0.000000e+00
    169   1.143666e+01   8.376849e-02   1.984200e+00   0.000000e+00   0.000000e+00
    170   1.148353e+01   8.441843e-02   1.976548e+00   0.000000e+00   0.000000e+00
    171   1.153041e+01   8.507087e-02   1.968956e+00   0.000000e+00   0.000000e+00
    172   1.157728e+01   8.572583e-02   1.961423e+00   0.000000e+00   0.000000e+00
    173   1.162416e+01   8.638331e-02   1.953948e+00   0.000000e+00   0.000000e+00
    174   1.167103e+01   8.704329e-02   1.946530e+00   0.000000e+00   0.000000e+00
    175   1.171791e+01   8.770579e-02   1.939170e+00   0.000000e+00   0.000000e+00
    176   1.176478e+01   8.837081e-02   1.931866e+00   0.000000e+00   0.000000e+00
    177   1.181166e+01   8.903833e-02   1.924618e+00   0.000000e+00   0.000000e+00
    178   1.185853e+01   8.970838e-02   1.917425e+00   0.000000e+00   0.000000e+00
    179   1.190541e+01   9.038093e-02   1.910286e+00   0.000000e+00   0.000000e+00
    180   1.195228e+01   9.105600e-02   1.903201e+00   0.000000e+00   0.000000e+00
    181   1.199916e+01   9.173359e-02   1.896169e+00   0.000000e+00   0.000000e+00
    182   1.204603e+01   9.241369e-02   1.889190e+00   0.000000e+00   0.000000e+00
    183   1.209291e+01   9.309631e-02   1.882263e+00   0.000000e+00   0.000000e+00
    184   1.213978e+01   9.378144e-02   1.875388e+00   0.000000e+00   0.000000e+00
    185   1.218666e+01   9.446909e-02   1.868563e+00   0.000000e+00   0.000000e+00
    186   1.223353e+01   9.515926e-02   1.861789e+00   0.000000e+00   0.000000e+00
    187   1.228041e+01   9.585195e-02   1.855065e+00   0.000000e+00   0.000000e+00
    188   1.232728e+01   9.654715e-02   1.848390e+00   0.000000e+00   0.000000e+00
    189   1.237416e+01   9.724487e-02   1.841764e+00   0.000000e+00   0.000000e+00
    190   1.242103e+01   9.794511e-02   1.835186e+00   0.000000e+00   0.000000e+00
    191   1.246791e+01   9.864787e-02   1.828656e+00   0.000000e+00   0.000000e+00
    192   1.251478e+01   9.935315e-02   1.822173e+00   0.000000e+00   0.000000e+00
    193   1.256166e+01   1.000609e-01   1.815737e+00   0.000000e+00   0.000000e+00
    194   1.260853e+01   1.007713e-01   1.809348e+00   0.000000e+00   0.000000e+00
    195   1.265541e+01   1.014841e-01   1.803004e+00   0.000000e+00   0.000000e+00
    196   1.270228e+01   1.021995e-01   1.796705e+00   0.000000e+00   0.000000e+00
    197   1.274916e+01   1.029174e-01   1.790451e+00   0.000000e+00   0.000000e+00
    198   1.279603e+01   1.036378e-01   1.784242e+00   0.000000e+00   0.000000e+00
    199   1.284291e+01   1.043607e-01   1.778076e+00   0.000000e+00   0.000000e+00
    200   1.288978e+01   1.050861e-01   1.771954e+00   0.000000e+00   0.000000e+00
    201   1.293666e+01   1.058141e-01   1.765875e+00   0.000000e+00   0.000000e+00
    202   1.298353e+01   1.065446e-01   1.759838e+00   0.000000e+00   0.000000e+00
    203   1.303041e+01   1.072776e-01   1.753844e+00   0.000000e+00   0.000000e+00
    204   1.307728e+01   1.080132e-01   1.747892e+00   0.000000e+00   0.000000e+00
    205   1.312416e+01   1.087512e-01   1.741980e+00   0.000000e+00   0.000000e+00
    206   1.317103e+01   1.094918e-01   1.736110e+00   0.000000e+00   0.000000e+00
    207   1.321791e+01   1.102350e-01   1.730280e+00   0.000000e+00   0.000000e+00
    208   1.326478e+01   1.109806e-01   1.724490e+00   0.000000e+00   0.000000e+00
    209   1.331166e+01   1.117288e-01   1.718740e+00   0.000000e+00   0.000000e+00
    210   1.335853e+01   1.124795e-01   1.713029e+00   0.000000e+00   0.000000e+00
    211   1.340541e+01   1.132328e-01   1.707357e+00   0.000000e+00   0.000000e+00
    212   1.345228e+01   1.139885e-01   1.701724e+00   0.000000e+00   0.000000e+00
    213   1.349916e+01   1.147468e-01   1.696129e+00   0.000000e+00   0.000000e+00
    214   1.354603e+01   1.155077e-01   1.690571e+00   0.000000e+00   0.000000e+00
    215   1.359291e+01   1.162710e-01   1.685051e+00   0.000000e+00   0.000000e+00
    216   1.363978e+01   1.170369e-01   1.679568e+00   0.000000e+00   0.000000e+00
    217   1.368666e+01   1.178053e-01   1.674122e+00   0.000000e+00   0.000000e+00
    218   1.373353e+01   1.185763e-01   1.668712e+00   0.000000e+00   0.000000e+00
    219   1.378041e+01   1.193498e-01   1.663338e+00   0.000000e+00   0.000000e+00
    220   1.382728e+01   1.201258e-01   1.658000e+00   0.000000e+00   0.000000e+00
    221   1.387416e+01   1.209044e-01   1.652697e+00   0.000000e+00   0.000000e+00
